name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB152,120,21.602468994692867,125.0,90,150,47498,2484.20521607124,47102.0,44804,50360,0,0.0,0.0,0,0,554,0.0,554.0,554,554,720,0.0,720.0,720,720,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2408629700.7,561790538.4817207,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB153,107,14.944341180973263,105.0,90,130,47084.4,2753.322324433197,47636.0,43288,50824,0,0.0,0.0,0,0,254,0.0,254.0,254,254,583,0.0,583.0,583,583,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1904275179.7,483424353.74936754,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB154,45,5.270462766947299,45.0,40,50,44942,2965.2657366396165,46480.0,40744,47820,0,0.0,0.0,0,0,743,0.0,743.0,743,743,400,0.0,400.0,400,400,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,55952148.5,35205.38962289723,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB155,100,21.602468994692867,105.0,60,120,47229.2,2009.2780793110744,47094.0,44628,51216,0,0.0,0.0,0,0,550,1.0540925533894598,550.0,549,551,808,0.0,808.0,808,808,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2078844464.4,796148433.9442686,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB156,112,22.50925735484551,110.0,80,160,47503.6,1447.5953394048584,47246.0,45308,50128,0,0.0,0.0,0,0,254,0.0,254.0,254,254,678,1.632993161855452,678.0,676,681,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1971672080.5,635143067.8291631,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB157,105,23.213980461973534,105.0,70,140,48066,1438.480988944781,47444.0,46220,50628,0,0.0,0.0,0,0,254,0.0,254.0,254,254,664.4,1.837873166945363,665.0,661,668,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2140813487.3,679043010.6634638,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB158,31,3.1622776601683795,30.0,30,40,27112,1875.1180111010494,27542.0,23728,29200,0,0.0,0.0,0,0,2,0.0,2.0,2,2,707,0.0,707.0,707,707,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,48216924.5,3919.122045957629,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB159,134,17.126976771553505,130.0,110,160,49196.8,2691.5583590180618,49464.0,43748,52332,0,0.0,0.0,0,0,253,1.0540925533894598,253.0,252,254,56264,0.0,56264.0,56264,56264,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,5145623832.3,1460409497.1865137,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB160,40,0.0,40.0,40,40,44706.8,2549.2671190843153,45022.0,40012,47996,0,0.0,0.0,0,0,443,0.0,443.0,443,443,262,0.0,262.0,262,262,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,55575845,27092.5868007386,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB161,101,24.244128727957577,90.0,70,140,48415.2,1588.9516320168116,47934.0,45456,50680,0,0.0,0.0,0,0,254,0.0,254.0,254,254,519,0.0,519.0,519,519,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1721671075.5,667252315.7785167,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB162,122,18.737959096740262,120.0,90,150,47471.6,2486.424259855908,47310.0,43616,51332,0,0.0,0.0,0,0,254,0.0,254.0,254,254,583,0.0,583.0,583,583,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2362705196.9,627260932.6240537,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB163,118,23.475755815545345,120.0,90,160,48833.6,1700.0864814604122,49014.0,45600,51340,0,0.0,0.0,0,0,254,0.0,254.0,254,254,583,0.0,583.0,583,583,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2405509822.4,689712950.1714785,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB164,106,21.70509412813294,110.0,60,130,48798.8,2391.7949001627303,49368.0,45040,51796,0,0.0,0.0,0,0,254,0.0,254.0,254,254,518,0.0,518.0,518,518,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1878023569.7,489511757.12906563,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB165,113,27.507574714370342,110.0,70,160,49489.6,2544.3488230455614,50262.0,45180,52216,0,0.0,0.0,0,0,255.2,1.0327955589886444,256.0,254,256,271,0.0,271.0,271,271,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,4251060428.4,1350966819.1092837,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB166,92,24.404006956964167,90.0,70,140,47196,2560.595069727174,46538.0,44664,50832,0,0.0,0.0,0,0,255.2,1.0327955589886444,256.0,254,256,271,0.0,271.0,271,271,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3129451492.1,1264055777.7753105,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB167,94,10.749676997731399,90.0,80,120,47502.4,1585.3397252464358,47818.0,44832,50056,0,0.0,0.0,0,0,255,1.0540925533894598,255.0,254,256,275,0.0,275.0,275,275,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3425737423.8,443291388.5898155,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB168,88,20.97617696340303,85.0,60,130,48593.6,2290.6932090041605,48476.0,45096,52228,0,0.0,0.0,0,0,254.9,1.1972189997378648,255.0,253,256,275,0.0,275.0,275,275,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3118441295.5,1223691677.2611222,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB169,76,16.46545204697129,75.0,50,110,46959.6,2373.570362695546,47094.0,43016,50016,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,1571.8,17.03460530149665,1561.0,1559,1602,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1434494228.7,533353732.7619559,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB170,87,25.841396591085743,85.0,40,130,47988.8,2259.0608077989696,49078.0,44752,50120,0,0.0,0.0,0,0,253,1.0540925533894598,253.0,252,254,524,0.0,524.0,524,524,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2066025145,983434790.8849574,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB171,90,14.142135623730951,90.0,70,110,47881.2,2129.9690555916013,47614.0,45096,51296,0,0.0,0.0,0,0,253,1.0540925533894598,253.0,252,254,535,0.0,535.0,535,535,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2097014661.9,603814865.319203,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB172,95,23.687784005919827,90.0,70,130,48913.2,2367.530020928985,48558.0,45672,52972,0,0.0,0.0,0,0,444.8,1.0327955589886444,444.0,444,446,598,0.0,598.0,598,598,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2421663726.9,912881824.1391028,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB173,102,34.25395354310701,90.0,70,170,48349.6,1861.647728939787,48114.0,45360,51020,0,0.0,0.0,0,0,258.5,0.8498365855987975,258.0,258,260,278.1,0.31622776601683794,278.0,278,279,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3829657234.5,1817623047.392392,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB174,97,22.63232692902394,105.0,70,130,47703.6,1666.9540552223455,47894.0,45032,50724,0,0.0,0.0,0,0,257,0.9428090415820634,257.0,256,258,279,0.0,279.0,279,279,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3444213551,1366215767.473024,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB175,135,40.345728123034014,130.0,80,220,55354,3512.7203766375205,55096.0,48132,59752,0,0.0,0.0,0,0,305.3,9.707385504518369,304.5,290,316,640,0.0,640.0,640,640,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,4770979597.9,1935525187.3313677,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB176,373,197.88043528016271,335.0,110,760,56903.2,5921.641153899445,56944.0,48860,68532,0,0.0,0.0,0,0,607.5,90.15326456158485,655.0,490,691,3059.5,5.873670062235365,3060.5,3048,3066,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,21723401459.1,13788384441.951185,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB177,362,172.74258305351347,380.0,120,620,55254.8,2755.7803815092216,54468.0,50844,60616,0,0.0,0.0,0,0,600.8,96.0460537682025,661.0,488,691,2774.2,19.013445534965804,2778.0,2740,2796,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,20922638433,12036586297.45955,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB178,93,10.593499054713803,90.0,80,110,46847.2,2402.245468075419,46626.0,43580,50716,0,0.0,0.0,0,0,253.2,1.0327955589886444,254.0,252,254,770.1,5.820461990063828,768.5,762,779,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2288385080.5,349046888.6252634,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB179,87,24.517567397911055,80.0,60,130,46824.4,1602.4952210017143,47308.0,44384,49684,0,0.0,0.0,0,0,252.6,0.9660917830792959,252.0,252,254,742,0.0,742.0,742,742,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1811155892,604556518.1026368,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB180,7478,527.0842226606463,7600.0,6680,8170,1184913.2,1940.589646931514,1185530.0,1181168,1187520,0,0.0,0.0,0,0,447.7,8.124722217473723,443.5,443,468,3133811409.8,21476203.55428488,3136617347.5,3095205375,3174419187,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,547115064143.2,9066068591.591618,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB181,1502,177.81388522209895,1510.0,1170,1790,194680,2041.1090667140309,194458.0,191504,198428,0,0.0,0.0,0,0,3501.4,57.56580775271222,3501.0,3411,3604,56404306.9,892000.0643327642,56371921.5,55304400,58340746,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,72241981899.5,7094498216.80322,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB182,28,4.216370213557839,30.0,20,30,27499.2,1628.4840121345305,28160.0,24204,29244,0,0.0,0.0,0,0,3,0.0,3.0,3,3,23,0.0,23.0,23,23,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,47314951.4,66625.20374653023,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB183,31,3.1622776601683795,30.0,30,40,27230,924.3323115753459,27072.0,25276,28796,0,0.0,0.0,0,0,3,0.0,3.0,3,3,21,0.0,21.0,21,21,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,47314566.9,65280.161193377375,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB184,31,3.1622776601683795,30.0,30,40,28085.6,1409.1702207721787,27826.0,26464,30040,0,0.0,0.0,0,0,7498.9,216.1586094617664,7428.5,7321,7993,5108.4,71.9045663825787,5084.5,5050,5273,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,70821870.4,1987242.7410911275,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB185,30,0.0,30.0,30,30,26818,1496.6929470595423,26404.0,24392,28824,0,0.0,0.0,0,0,99,0.0,99.0,99,99,89.7,0.48304589153964794,90.0,89,90,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,47604378.1,35493.278901942984,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB186,30,0.0,30.0,30,30,27123.2,947.44531357869,27126.0,25360,28896,0,0.0,0.0,0,0,15,0.0,15.0,15,15,10,0.0,10.0,10,10,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,47350289.5,63621.61527561036,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB187,32,4.216370213557839,30.0,30,40,27465.2,1204.595718257559,28010.0,24544,28348,0,0.0,0.0,0,0,15,0.0,15.0,15,15,9.2,0.4216370213557839,9.0,9,10,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,47357133.7,57161.04456329211,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB188,41,5.676462121975467,40.0,30,50,28120.4,1142.7225968420041,27842.0,26348,29972,0,0.0,0.0,0,0,7215.4,0.5163977794943222,7215.0,7215,7216,1008.8,0.4216370213557839,1009.0,1008,1009,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,72951741.2,1422026.9892522981,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB189,33,4.83045891539648,30.0,30,40,28296.8,855.1185492861988,28056.0,27244,29660,0,0.0,0.0,0,0,108,0.0,108.0,108,108,28,0.0,28.0,28,28,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,47663540.5,115298.7158647292,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB190,40,0.0,40.0,40,40,27923.2,1710.1836678490934,28232.0,24468,30056,0,0.0,0.0,0,0,6004,0.0,6004.0,6004,6004,7019,0.0,7019.0,7019,7019,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,77336706.4,2401231.869492231,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
