name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB165,195,105.64615994493653,155.0,110,470,48206,2056.246634580157,47780.0,46324,52520,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,7430857190.8,3622852594.8670774,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB166,168,59.40445175985457,160.0,100,300,48791.6,829.5143425188286,49024.0,47488,50160,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,5111299872.5,1068037707.4255604,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB167,143,49.22736366426028,130.0,90,260,47966.8,2652.612330850058,46946.0,44704,52208,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,4019063507.3,1342950386.7860875,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB168,180,26.666666666666668,180.0,150,240,47378.4,1599.2022455656515,47742.0,45020,49100,0.6,0.5163977794943222,1.0,0,1,0,0.0,0,0.0,0,0.0,6159527718.1,1461554207.197878,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB169,185,55.02524673073059,170.0,120,320,49214.8,2236.8708699629688,48574.0,45140,52436,8,0.0,8.0,8,8,0,0.0,0,0.0,0,0.0,4492021740,2054755868.4978402,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB170,136,27.162065049951153,140.0,90,180,47607.2,2548.0769568005157,47600.0,42812,50884,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1677355781.9,307753328.5430568,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB171,136,24.585451886114367,140.0,90,170,47430.4,1607.91840589005,47232.0,45668,51432,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2259405429.9,848820572.8821586,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB172,144,47.187568984497034,160.0,70,220,47229.2,3009.138112114128,47660.0,43040,53004,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,2050794694.2,965187229.9012592,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB173,215,80.31189202104505,190.0,140,390,48268.8,910.5989237858785,48414.0,46700,49804,1,0.0,1.0,1,1,0,0.0,0,0.0,0,0.0,7671059908.2,3082493007.270729,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB174,135,32.744804507314164,130.0,100,200,46604.8,2767.426915626379,47126.0,41068,49708,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,3643527632.3,1174874740.30406,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB175,229,49.98888765404656,215.0,160,310,55958.8,4531.104569773492,55402.0,50400,64496,2.3,0.48304589153964794,2.0,2,3,0,0.0,0,0.0,0,0.0,7720326358.3,3067982373.9877543,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
