name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB207,74,19.550504398153574,65.0,50,100,47815.6,2274.958519768364,48510.0,44092,50776,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1893447229.6,782853094.9702207,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB208,69,24.244128727957577,60.0,40,100,48772.8,1947.2033963268107,48540.0,46136,51172,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1235250051,784910996.6277437,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_001,11,3.1622776601683795,10.0,10,20,26615.2,1556.3167915162887,26580.0,24332,28976,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,37978890.4,1326.4601346775894,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_002,1348,6.324555320336759,1350.0,1340,1360,241788,1801.2361187683184,241862.0,239356,244432,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,11005471635.6,31317.355888104958,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_003,134,27.96823595120404,135.0,90,170,48390,1777.3920970530578,48350.0,45956,50948,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,3269930475.6,1066232462.109567,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_004,117,18.287822299126937,120.0,80,140,48703.2,1921.2669893704115,48754.0,45752,51272,2,0.0,2.0,2,2,0,0.0,0,0.0,0,0.0,2798295418.5,735863325.7690907,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_005,41,3.1622776601683795,40.0,40,50,45632,1715.7187026627257,45240.0,43448,48280,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,65000383.7,141212.53110200007,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_006,728,185.40046745715972,750.0,480,950,49777.6,2038.795461377461,50106.0,46684,51912,2.6,0.5163977794943222,3.0,2,3,0,0.0,0,0.0,0,0.0,17515468191.3,3678302268.1532044,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_007,64,6.99205898780101,60.0,60,80,45795.2,2344.3509786529644,46444.0,42476,48144,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,369821218.8,51237.989297872424,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_008,646,163.85630561223115,615.0,470,860,48915.2,2308.9867330353663,49284.0,44940,52360,2.5,0.5270462766947299,2.5,2,3,0,0.0,0,0.0,0,0.0,15196091142.8,3000285500.7557025,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_009,4997,153.55418877024778,5030.0,4750,5180,94470.8,2028.9829307644097,94212.0,91948,97508,5,0.0,5.0,5,5,0,0.0,0,0.0,0,0.0,486584852923.7,15882002472.101646,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_010,4961,305.23033197170224,4825.0,4670,5630,95156,1822.7685901763102,95122.0,92280,97656,5,0.0,5.0,5,5,0,0.0,0,0.0,0,0.0,483983719657.3,29697064840.441956,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_011,163,9.486832980505138,160.0,160,190,46772.8,1610.1939703719618,47436.0,43020,48356,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,1573414857.6,114667.92674520824,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_012,900000,0.0,900000.0,900000,900000,97264,0.0,97264.0,97264,97264,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,96111656254850,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_013,180114,4919.632325918496,179635.0,171220,187060,95974.8,2938.849389358586,96436.0,89948,99536,5,0.0,5.0,5,5,0,0.0,0,0.0,0,0.0,19143327299975.9,527611637042.967,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_014,886,12.649110640673518,880.0,880,920,45037.6,1557.4534200275639,45364.0,41640,46836,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,13762775889.4,37220.74781982042,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_015,131,29.60855732160327,135.0,80,180,47774.8,1515.6335528968295,47760.0,45736,50840,1.4,0.5163977794943222,1.0,1,2,0,0.0,0,0.0,0,0.0,3893514482.7,1470256582.7855213,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_016,119,16.6332999331662,115.0,100,150,48250.4,1914.3938524301163,48218.0,45544,51308,1.4,0.6992058987801011,1.0,1,3,0,0.0,0,0.0,0,0.0,3027424350.2,1165097779.3608944,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_017,40,0.0,40.0,40,40,44660,2384.2773887840035,45286.0,40508,48508,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,58742413.3,124973.02877914632,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
