name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB021,204.86,24.51572589842142,201.5,33.46,2.3229994684915978,33.0,0,0.0,0,0.0,0,0.0,5969843340.12,1106272400.0627313,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB022,202.1,27.004345833171946,200.0,32.5,2.6438222176173922,32.0,0,0.0,0,0.0,0,0.0,6166247388.78,1686987218.2751718,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB023,97.66,13.491660311436235,100.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1742959311.68,406137773.0585478,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB024,14.8,1.7142857142857144,14.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,27357332.82,1752.9418502061276,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB025,14.56,1.6801360489130466,14.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,27041763.36,1328.4966762380366,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB026,95.06,14.618146396914783,98.5,0.06,0.2398979374820952,0.0,0,0.0,0,0.0,0,0.0,1766748394.72,508503022.5074315,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB027,113.34,26.23956352299998,112.5,0.52,0.6141195788629908,0.0,0,0.0,0,0.0,0,0.0,3470291523.84,1588104195.8933768,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB028,128.52,28.942053295846026,123.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,3061453640.68,897751096.0958936,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB029,97.52,11.097416503908669,100.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1764182878.78,364320521.7376471,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB030,102.1,14.146824840268026,103.0,0.02,0.1414213562373095,0.0,0,0.0,0,0.0,0,0.0,1805971164.56,394752818.382396,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB031,100.56,12.496791424936537,104.0,0.08,0.27404751561786966,0.0,0,0.0,0,0.0,0,0.0,1704791947.64,457524126.0595488,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
