name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB186,74.7,6.684143758012524,75.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,374291798.2,12792955.980281405,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB187,59.9,20.234459057096963,69.5,0.7,0.48304589153964794,1.0,0,0.0,0,0.0,0,0.0,266332783.2,153447074.8784983,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB188,80.7,11.954078801814886,79.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,354982641.3,4269211.661252046,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB189,74.3,12.165981715879369,72.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,337394552.6,4814950.246324074,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB190,138.2,6.579429222120175,137.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,1191120681.6,4739732.971302831,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB191,900003.7,0.6749485577105528,900004.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,19615733707.1,5043667628.723216,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB192,76,4.109609335312651,76.5,1,0.0,1.0,0,0.0,0,0.0,0,0.0,364572911.3,11881814.55117476,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB193,73.2,7.192588778272627,71.5,1,0.0,1.0,0,0.0,0,0.0,0,0.0,461975289.6,145407663.98660612,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB194,199.7,27.479487299114993,195.5,6,0.0,6.0,0,0.0,0,0.0,0,0.0,5394804805.1,1178616225.1030192,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB195,181.9,20.338523927649113,175.5,4.9,0.31622776601683794,5.0,0,0.0,0,0.0,0,0.0,3928332902.9,582175024.0491954,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB196,229.4,48.146074029399784,216.5,5,0.0,5.0,0,0.0,0,0.0,0,0.0,6163486698.4,1156250913.1309195,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB197,194.3,45.59495586136695,180.0,6,0.0,6.0,0,0.0,0,0.0,0,0.0,6150960127.9,1349317926.9096487,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB198,900004,0.816496580927726,900004.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,9963668011141.7,196580398527.21667,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB199,900004.9,1.728840330651992,900004.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,8681057604892.6,375980494639.87274,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB200,69.9,7.680422442085389,69.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,369019549.3,8584872.32735911,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB201,68.1,5.10881590977792,66.0,1,0.0,1.0,0,0.0,0,0.0,0,0.0,368318071.1,7685037.785044007,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB202,112.2,14.320148975016519,112.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1679497671.4,408058446.960986,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB203,105.5,18.66815470259447,108.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1895478876.5,518099148.2352741,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB204,116.9,23.586483888494744,110.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1973161129.6,564603294.1709112,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB205,162,15.136416719656971,162.5,1.5,0.5270462766947299,1.5,0,0.0,0,0.0,0,0.0,4822454035,1356385816.7974272,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB206,162.4,39.432642991984864,165.5,1,0.6666666666666666,1.0,0,0.0,0,0.0,0,0.0,3857376078,1418770587.4662445,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB207,98.8,10.674996747332317,99.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1618909791.6,463312021.563013,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB208,105.9,13.050755618822315,104.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1659003030.8,353119374.6130112,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_001,18,5.0771820705759385,17.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,34181738.9,1142.6356909453784,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_002,62.8,5.633234713140695,61.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,85381059.6,3078.117577712427,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_003,186.5,20.506096654409877,182.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,2948966970.2,703272287.5397495,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_004,181.7,24.594714879420742,176.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,2635925507.2,452241167.5317847,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_005,45.6,5.146735750831676,43.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,59424305.3,37979.750294802565,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_006,995.7,116.93117633890459,1018.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,19581654424.4,2630377827.20093,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_007,84.5,6.654154925892376,83.5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,358043810.7,76385.81310550336,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_008,935.7,182.8691396114233,1006.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,19562538162.3,3547590076.615003,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_009,27952.3,1100.2918855164448,27650.0,7,0.0,7.0,0,0.0,0,0.0,0,0.0,2642118693045.2,123478021358.76137,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_010,27550.9,555.6876520732368,27620.0,7,0.0,7.0,0,0.0,0,0.0,0,0.0,2584804568996.2,72817583951.65813,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_011,52.5,6.041522986797286,50.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,114551274.7,51148.75188886713,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
